meta_simulation_number,money
1,-0.297029702970297
2,-1.509433962264151
3,2.3
4,1.0
5,1.0679611650485437
6,1.6666666666666667
7,0.3883495145631068
8,0.0
9,-0.5392156862745098
10,-0.9900990099009901
11,-1.6981132075471699
12,0.625
13,-0.4807692307692308
14,-0.330188679245283
15,1.0194174757281553
16,-0.24509803921568626
17,-0.297029702970297
18,0.14423076923076922
19,0.4368932038834951
20,0.7075471698113207
21,0.19230769230769232
22,-1.8137254901960784
23,-2.4019607843137254
24,0.8910891089108911
25,-2.688679245283019
26,-0.28846153846153844
27,0.1
28,-0.4807692307692308
29,1.2135922330097086
30,1.5686274509803921
31,-1.8446601941747574
32,-1.8316831683168318
33,1.4215686274509804
34,-0.5188679245283019
35,-1.0679611650485437
36,-0.28846153846153844
37,0.19801980198019803
38,0.42452830188679247
39,-0.5445544554455446
40,1.386138613861386
41,-0.6372549019607843
42,-0.09259259259259259
43,0.594059405940594
44,0.04807692307692308
45,-0.2912621359223301
46,0.44554455445544555
47,-0.4368932038834951
48,-0.660377358490566
49,0.9615384615384616
50,1.6981132075471699
51,-0.2403846153846154
52,-1.0185185185185186
53,0.8737864077669902
54,-1.4215686274509804
55,-1.6504854368932038
56,0.49019607843137253
57,-1.5346534653465347
58,1.0891089108910892
59,-0.09615384615384616
60,0.04950495049504951
61,-1.0096153846153846
62,0.38461538461538464
63,0.09803921568627451
64,-0.9433962264150944
65,0.9523809523809523
66,-0.47619047619047616
67,0.2912621359223301
68,1.6504854368932038
69,-0.42857142857142855
70,-1.0891089108910892
71,0.7619047619047619
72,0.7843137254901961
73,-1.0194174757281553
74,0.594059405940594
75,-1.9902912621359223
76,-0.47619047619047616
77,-1.7475728155339805
78,-0.049019607843137254
79,-0.2
80,-1.3366336633663367
81,-1.45
82,0.5
83,2.7941176470588234
84,1.5384615384615385
85,-1.3725490196078431
86,-0.5769230769230769
87,0.970873786407767
88,0.049019607843137254
89,1.6666666666666667
90,-0.6372549019607843
91,0.75
92,2.019230769230769
93,-1.5048543689320388
94,-0.14285714285714285
95,-0.3465346534653465
96,-1.25
97,-0.25
98,-0.2
99,-0.39215686274509803
100,0.33980582524271846
